# Famous bright stars from Steve Kent & Alex Drlica-Wagner
# https://heasarc.gsfc.nasa.gov/W3Browse/star-catalog/bsc5p.html
# https://cdcvs.fnal.gov/redmine/projects/des-y6/wiki/Y6A2_Gold_foreground_regions
id,ra,dec,vmag,radius,name
8698,343.1537, -7.5797,  3.7400,  0.5000,73Lam Aqr       
8775,345.9438, 28.0828,  2.4200,  0.8000,53Bet Peg       
8781,346.1904, 15.2053,  2.4900,  0.7000,54Alp Peg       
8974,354.8367, 77.6325,  3.2100,  0.5000,35Gam Cep       
9090,  0.5304,-14.6761,  7.1000,  0.5000,                
99,  6.5708,-42.3061,  2.3900,  0.5000,Alpha Phoenix
472, 24.4288,-57.2367,  0.4600,  1.7000,Achernar
591, 29.6925,-61.5697,  2.8600,  0.5000,Alpha Hydra
1231, 59.5075,-13.5086,  2.9500,  0.5000,Gam Eri
1492, 69.1900,-62.0775,  5.4000,  0.5000,R Doradus
1956, 84.9121,-34.0741,  2.6400,  1.1000,Phact (Alpha Colombae)
2004, 86.9391, -9.6696,  2.0600,  1.5000,Saiph (Kappa Orionis)
2326, 95.9879,-52.6958, -0.7200,  2.0000,Canopus
3823, 78.6345, -8.2016,  6.4900,  1.3000,Rigel
3685,138.2999,-69.7172,  1.6800,  1.1000,Beta Car
4186, 83.8221, -5.3911,  6.0700,  0.5000,Orion Nebula
4263, 85.4279, -1.9122,  6.1100,  0.5000,Flame Nebula
5340,213.9154, 19.1825, -0.0400,  1.0000,Arcturus (Alpha Bootes)
5423,101.2872,-16.7161,  6.3500,  1.6000,Sirius (Alpha Canis Majoris)
6134,247.3517,-26.4319,  0.9600,  1.6000,Antares (Alpha Scorpii)
7790,306.4121,-56.7350,  1.9400,  1.1000,Alpha Pavonis
8425,332.0583,-46.9611,  1.7400,  1.1000,Alnair (Alpha Grus)
8521,335.6829,-45.9478,  6.6200,  0.5000,pi.01 Grus
8636,340.6671,-46.8847,  2.1000,  1.1000,Beta Grus
8728,344.4127,-29.6222,  1.1600,  1.5000,Alrescha (Alpha Piscium)
